Igala,English
òkwúta,stone
ùwẹ,you
ọ́nẹkẹ̀lẹ,Man
gbà,give
ébíjè,devil
àwa,we
únyí,house
chẹ́,Fold
ónobule,smell
òñwu,he
òñwu,she
òñwu,it
éwó,goat
ọ́maye,sister
ọ́maye,brother
ónonojò,stragers
ónonojò,visitors
òmi,I
j’ójí,steal
Àtá wa,Our father
Àtá,father
òkólóbíáà,young man
ébi,Hunger
èjìmá,twins
èkìlì-ẹrẹ̀,Ankle
ènè,question
ílojí,hair
Agba,Hello
èmí,here
ọ̀mọ́,There
fàáfáī,Just now
ẹ́rẹrẹ̀,immediately
àbaba,Initially
du,take
hieele ,all
ájọfẹ,chief
ẹ́ñwu,Something
ẹ̀bìẹ̀,blood
áji,stream
ímọ́,nose
ìtì,cheek
úlo,pimple
óyó,fat
ọ́gọ́́lọ̄,ditch
bá,boast
fà,crawl
gbà,recieve
gwẹ̀,wash
hì,cook
jó,burn
kà,say
Kpẹ̣́,divide
kwà,shout
lí,see
mí,rest
nẹ,own
nyí,create
ñmọ,drink
ñwá,peel
rá,run
tà,sell
ùlù ,smell
àwa,we
òmi ,i
mà,they
ẹ̀,you
abalẹ,be
 ta,to
 óñwù,of
 mányu, and
òmi,am
 efù ,in
 elẹ,that
enẹ,have
ẹñwù ,it
 ñwù ,for
ìche,not
 ójìñwù ,on
kpai,with
Ọnẹkẹlẹ,he
 Abalẹ,as
 chè ,do
 ugbo, at
 eyì,this
ùyọ̀ ,joy
ẹ̀gbà ,time
éfufu,white
égbé ,grass
ejodudu,firtr
ane̩,and
ile̩.,world
júgwúú,disarray
òfòfo ,empty
ẹ̀chúbi ,darkness
ọ̀lùlù,climax
kà dufù,Divulge
ẹ̀dẹ̀bọ́ ,Happiness
taki,because
ámáà ,but
bàkú ,must be
cháí,unless
ìchèkpúlù,School
íchẹ́kà ,even if
ìchẹ̀kíbọ̀ ,remainder
dágba,may be
déké,go
íchẹñwu ,if
ídábálẹ̄,if so
kpai,and
múdáà,however
todú ,because of
àákpà ,corn
á,will
ìbá ,beside
íbe ,mind
ìgbẹ̀lẹ́ ,young girl
íhia,sneeze
íkáakàla,crab
íkáakàla,perharps
íkétè,sore
íkọ́líkọ́ ,horror
ìkpà ,bag
íkpágolo ,container
íkpékēè ,hiccup
íkwẹ́kwẹ́ẹ̀ ,derision
ẹ́nẹ ikwẹ́kwẹ́ẹ̀,clown
ìlá ,mistake
ílo,bell
ìlówáà,Foreigner
ímọtọ,child
ímú ,Mosquito
ínáà ,insult
ìnajọ́ ,dawn
ínéè,tax
ípílò ,pillow
ítébùlù,table
ìtékwú ,ocean
ítélénì ,tray
ítíchà ,teacher
íwáyáà,wire
íyáà,joke
íye ,mother
já,grate
já,fight
jàbe,vote
jádá ,cut
jágajàga ,untidy
jàjà ,very 
jálíí,obviously
jámù,collide
já-tō,assemble
jẹ́ ,agree
jijì,far away
jó,burn
kàdó ,touch
kàtàà ,profusely
kálí ,which
katé ,only
ké,proud
kéee ,why
kékélé,small
kẹ̀chẹ̀ ,push
kẹ́dọ̀nó ,trust
kẹrẹ̀bọ́ ,meet
kò ,heal
kócho,please
kojí,replace
kòjòkòjò ,anxiously
kórú ,mock
kọ,write
kọ́chẹ̄,learn
kọ̀fídá ,place
kọ́kwúú ,stiff
kù ,who
kpa,kill
kpá,ripe
kpàí ,and
kpajá ,grind
kpákányú,grip
kpákóló,jump
kpàkpà ,exactlly
kpákpálá ,quickly
kpakpalakpaa,hard
kpamá,tidy
kpalu ,quench
kpanà ,tear
kpéjì ,divide
kpélí,gather
kpẹ́ ,share
kpẹ́chíí,smallish
kpẹ́dọ̀ ,cruel
kpẹ́lẹ́kẹ́,always
kpẹ́rú ,divide
kpìyá ,smear
kpó ,smell
kpódudu ,smoky
kpojí ,conclude
kpolu,sedate
kpòò,loudly
ej'ọfẹ ,Rule 
Ejónù,reign
kpọ̀,cheap
kpọhiọọ ,heavy
kpọ̀ọ̀ ,much
kpọ́tii,thick
kpùkẹ̀ẹ̀ ,short
kpúná ,hot
kpuná,warm
kwà ,cry
kwàá,loudly
kwóò,deduct
kwú,die
kwu , Slaughter
kwúlọ̄ ,stammer
là,buy
lá,astray
làáléè,pass
láñwúù,grumble
lamọ́,paste
lè ,to go
lè gwúdu,overtake
le,somehow
lèkwú ,will die
lèwá,come
lẹ ,the
lí ,see
li,clean
lì,punch
lìá ,come
Íkòó ,time
lìààà,pull
lìchà-lìchà ,muscular
liẹ ,crush
líẹ́na ,envious
lìkìlìkì,fully
lile,big
lotoo,enormous
lọ́ ,chew
Ómi álọ̀,raining
Ómi ,water
lu ,quench
lù ,smell
má ,someone
má ,never
ma,their
májáà,hide
mẹmù ,to end
mí,rest
mi ,my
mì ,swallow
miẹ ,suck
mòmòlò,round
mọ,drink
mọ̀là ,kind
mú ,stop
múlọ̀,gather
nà ,myself
na, rant
náa ,continue
nábáà,ban
nàdàlà ,unfold
najú ,hurry
nawo ,increase
néjú,believe
neke,can
neke,able
nétí,listen
nẹ́ ,carry
nẹ̀ ,break
nẹpi ,nose
nítēlē ,to ask after
nó,expel
nójí ,because of
nù,play
nù,played
nù,playing
nyọ̀ ,beautiful
nyọ́gbá ,progress
nyọ́lọ́ ,deform
nyú ,into
nyú ,in
nyú ,inside
ñá,catch
ñàà,firmly
ñòóñō,fiercely
ñọ́,gather
ñọ́rú,settle
ñmé ,particle
ñmí ,rest
ñmíñmi ,breathe
ñmọ,drink
ñwá,fall
ñwà,measure
ñwọ́,itch
ñwọ̀ ,slippery
òbé ,business
òbébè ,speed
òbìjimu,ostrich
óbó ,soup
òbògo,stupid
òbóchí ẹnẹfu,doctor
òbúkọ ,he-goat
òchìkapa ,rice
óchú ,witch
óchú ,wizard
òchúchù ,dizzy 
óchúù ,moon
ọ́kọ́ ochù,salary
òdènè ,vulture
òdòdó ,flower
òdùdu,morning
òdùfa,green
òféfē,soon after
òfeje-í ,recenty
òfòfo ,empty
òfòfo ,zero
òfù ,destruction
òfù ,loss
ògbégbéílẹ̀ ,eternally
ògbèlè ,lizard
ògbémè ,remarkable
ógbó,old age
ògémi,neatness
ògénéba ,elegance
ògijo,elder
ògijo,senior
ògwòni ,expert
ógwù ,medicine
ógwu ,warm
ógwú,inheritance
ògwùchẹ́kwọ̀ ,illitrate
ògwùgwù ,owl
òhì ,reply
ójétà ,trash
ójíká ,shoulder
òjìbó,statue
ójíle ,good luck
òjima,respect
òjima,honour
ójínójíì,grave
ójóò ,gift
ójúwó,hill
òjúgò,glass
òjùjù,secret
óko ,bush
òkólóbíáà,Boy
òkólo,ram
ókóò ,parrot
òkpò ,fear
ch'òkpò ,afraid
ókwu,friend 
ókwunọ ,cow
òkwúta ,stone
ókwúù ,trap
òlílí,flute
òlíye ,needle
ólu ,sleep
ólù ,sun
òlùbọ́,shade
òlùgbẹ,thirst
òlùka,dialogue
òményī,uncle
òmì ,water
ómu,salt
ónẹ̀ ,person
ónobùlẹ,woman
ónú ,king
ónúchẹ́ ,message
òñwu ,him
òñwu ,her
òtítálá,finally
òtítálá,last
ọ̀bàlà ,cat
ọ̀bàta,suffer
ọ̀bẹ ,knife
ọ́dáà ,law
kọdá,cut
ọ̀daala,law
ọ̀dọ̀,wall
ọ́dọ́da ,out
ọ́ga ,tall
ọ̀gà ,winner
ọ̀gẹ̀cha,truth
ọ́kọ,husband
Ọ́na ,dream
ọ̀ọ́nà ,path
ọ̀ọ́nà ,road
ọ̀tákáda ,book
m’ọ̀tákáda,brilliant
ọ́kọ́-ọ́tākāda,currency
iye,mother
ọ́wọ́ọ̀,broom
ọ́yáà ,wife
ọ́yá ukwú ọkọ,widow
ọ́yonū,queen
píọ́ọ́,surely
pótóó,wide
ráīlọ ,hate
ràìlò,fear
ré,shut
ré,close
K'í ,to
ódú ,name
kàkíníí,to say 
ta,shoot
ma kàkíníí,they said
ñwá,fall
ñwu,itch
Kù mẹ  ,they should 
Kù ,should
Ká ñwu ,tell
Ká ñwu má ,time
Óñwù,own
Abo,people
a kàkíníí,we said
u kàkíníí,you said
ñwe̩,for you
ugbo,where
te̩,lock
o̩ma,son
o̩ma,Daughter
o̩ma,child
o̩la,word
k'o̩la,speak
Úmà ṅ, i don't
ù ,i
amone̩,people
lewa,come
amo̩ma,children
ne̩,carry
eju,eye
eju,face
dufu,go out
dufu,going out
one̩,someone
Defidi,david
àchẹ ,predict
Agba,hello
ọ́gbọ́ọgbá,tall
iche̩bo̩,remaining
bi,open
e̩do̩,heart
E̩ne̩,person
Abe̩le̩,like that
dágō,wait
dágō,stand 
neke,can
wèwè,plenty
oli,stick
o̩na,way
o̩na,door
dohi,answer
kiafo̩,sacred
kiafo̩,holy
o̩la-wñ,body
rinyo̩,sweet
nyo̩,good luck
ʼe̩wñ,thing
chʼe̩wñ,do
e̩do̩,call
oji,thief
kwane̩,to stand up
gugu,sweat
ónúgò,self
ónúgo ùwẹ,yourself
ónúgò mi,myself
ónúgò wa,ourself
ónúgò wa,ourselves
ùbì,behind
kpẹ́,share
ójóojí ,different
ẹ̀gbà ,season
ẹ̀gbà ,period
ẹ̀gbà ,time
ko̩la,speak
ko̩la,talk
dàbì ,go back
ùñà,chance
ùñà,opportunity
e̩bie̩ne̩,bad
che,is
egini,small
ate̩,up
ogane,down
íbe ,mind
íbe ,heart
ogbegbele̩,forever
e̩gujo,burn
efojale,heaven
umola,wisdom
o̩chaka,everything
e̩yo̩,joy
kʼunyi,bulld
e̩ko̩,full
ufe̩do̩,love
Jisos,jesus
o̩bata,suffer
afe̩do̩,we love
efe̩do̩,i love
eli,song
o̩ko̩ko̩lo̩,cycle
ala,sheep
daba,cross
kado,touch
Aladi,Sunday
Látiní,Monday
Talata,Tuesday
Laluba,Wednesday
Alami,Thursday
Ajuma,Friday
Ishatè,Saturday
Olu,Sunday
ochu ajodudu,January
ochu ekeji,February
ochu eketa,March
ochu ekele,April
ochu ekelu,May
ochu ekefa,June
ochu ekebie,July
ochu ekejo,August
ochu ekela,September
ochu ekegwa,October
ochu ekegwa-oka,November
ochu ekegwe-eji,December
Ochu ajódudú,January
ochu ekeji,February
ochu eketa,March
ochu ekele,April
ochu ekelu,May
ochu ekefa,June
ochu ekebie,July
ochu ekejo,August
ochu ekela,September
ochu ekegwa,October
ochu ekegwa-oka,November
ochu ekegweji,December
ódú dú,AM
áné pété,PM
hieele ,all
wèwè,plenty
éfufu,white
édúdú,black
ékpikpa,red
òdùfa,green
òdùfa,blue
ọ̀rọ́ka ,afternoon
òdùdu,morning
bíẹ́nẹ ,bad
gwúchẹ́ ,break
gwúdu ,enter
ájúwẹ ,hen
ájúwẹ ,chicken
tù ,choose
tùgbo,went
tẹ̀gwù ,climb
úgbo ,place
ìchèkpúlù,school
ìchèkpúlù,universtiy
únyí-dúdú,prison
únyí-alee,office
únyí-olu,bedroom
únyí-ọkọ́,bank
ùnyọ̀,beautiful
ùnyọ̀,beauty
àìkọ ,cock
piopio,soon
òkòlò,compound
ídó,dance
Ọ́jọ́ ,God
ọ́maye,brother
ọ́maye,sister
iñyẹ,one
èjí ,two
Ẹta ,three 
ẹlẹ,four 
ẹgwa,five
ẹfa,six
èbíè,seven
ẹjọ,eight
ẹla,nine
ẹgwa,ten
ẹgwa ká,eleven
ẹgwa eji,twelve
ẹgwa ẹta,thirteen
ẹgwa ẹlẹ,fourteen
ẹgwa ẹlu,fifteen
ẹgwa ẹfa,sixteen
ẹgwa èbíè,seventeen
ẹgwa ẹjọ,eighteen
ẹgwa ẹlá,ninetenn
ogwu,twenty
Ogwu ẹgwa,thirty
ọgbọ mèjí,forty
ọgbọ meji ñyẹ gwa,fifty
ọgbọ mẹta,sixty
ọgbọ mẹta ñyọmẹ ẹgwa,seventy
ọgbọ mẹlẹ,eighty
ọgbọ mẹlẹ ñyọmẹ gwa,ninety
ogwu mẹlu,one hundred
àgbágbà,about
àtẹ,above
ábúdúú,absolutely
ùrà,abundance
bẹ̀híẹ́ẹ́,abundant
gbà,accept
àchígílī,accidentally
ùgwùgwú,accommodation
lèbọ́,accompany
dábálu,according
ọ̀là,account
gwúné,accuse
che,achieve
ùkpáhíú,achievement
àgwódábáà,across
ẹ́ñwu,action
úkọ́lọ́,activity
àdumọ́,addition
kà,address
gb’ọwọ́ ábi,admit
ògijo,adult
íbe,advice
k’ọ̀là ñw’ú,advise
ọ̀tàkáchi,advocate
j’ọ́kọ,affair
ùfẹ̀dọ̀,affection
ch’ókpò,afraid
ùbì,after
ọ̀rọ́ka,afternoon
gẹ̀,again
ógbó,age
ẹ́nẹ,agent
kwúhie,ago
àkàméjúñwá,agreement
úchẹ́-oko,agriculture
àbùnẹ́,aid
àfù,air
ọ́kọ́ọ̀-ojáalè,aircraft
chákáá,all
bùñà,allow
kpọ́kpẹ́,almost
katé,alone
kpàí,along
gẹ̄ẹ̄,also
íchẹ́kà,although
ìkò dúú,always
Àméríkà,America
Àméríkà,American
àgbàdé,among
álu,amount
chábe,analysis
ígbélé,ancient
kpàí,and
ọ́mọọ̀láíka,angel
ìmélí,anger
bíéjú,angry
ẹ́la,animal
àdàmọ́dọ́,anniversary
tẹ́-ákōya,announce
òmúnẹ́ẹ̀,another
òhì,answer
èjíjì,anxiety
kòjòkòjò,anxious
dúú,any
ẹ́nẹ dúú,anyone
ẹ́ñwu dúú,anything
bìèbi,appeal
dà,appear
éjú,appearance
àlèmú,apple
ùdúmiọla,application
che,apply
chí,appoint
ùdágō,appointment
gbẹ́rẹ̀,approach
dábú,approximately
Ẹ̀pìlì,April
àjọ,arbitration
ójáanẹ̀,area
j’iñwà,argue
ẹ́rọ́là,argument
ọ́wọ́,arm
àmajogwu,armies
ẹ́la-abàgá,arms
àmajogwu,army
àgbágbà,around
ch’alò,arrange
álóò,arrangement
mú,arrest
éwá,arrival
lìá,arrive
ọ́fá,arrow
ẹ́ñwu ọwọ́,art
ẹ́ñwu,article
ẹ́ñwu ajá,articles
dábálu,as
t’énè,ask
dọ́,asked
t’énè,asking
ọ́gọ́gọ̄,aspect
àkpẹ́rú,aspects
jẹjú,assemble
ùjẹjú,assembly
k’ọ̀là jálíí,assert
àñwàgó,assessment
kpẹ́,assign
úkọ́lọ́,assignment
àbùnẹ́,assistance
àchímọ́la,assistant
ùjẹjú,association
néjú,assume
ùbọdù,assumption
jẹ́nyú,assure
àdíkò,at
n’úká,attack
dọ́mọ,attempt
wá,attend
ẹ̀dọ̀,attention
áli,attitude
ch’ejúkọ̀kà,attract
nyọ̀,attractive
àmọjà,audience
Ọ̀gọ̀ọ̀stù,August
ọ̀mẹ́nyi,aunt
èyíkwu,authority
dẹ́,available
dábú,average
b’àfù,avoid
chí,awarded
mà,aware
ọ̀dọ́da,away
mùgọ̀mùgọ̀,awkward
ùbì,back
bíẹ́nẹ,bad
bíẹ́nẹ-bíẹ́nẹ,badly
ìkpà,bag
gb’ọwọ́ onẹ̀,bail
ùchéjè,balance
íbọ́lù,ball
nábáà,ban
ùkọ̀lọ́,band
únyí ọ́kọ́,bank
òfòfo,bare
àká,barn
ẹ̀tẹ̀,base
ẹ̀tẹ̀,basis
úgbá,basin
ìdọ́,bat
gw’ọla,bath
che,be
étí-ọbá,beach
nẹ́,bear
ẹ́la,beast
gwó,beat
àlìfía,beautiful
ùnyọ̀,beauty
todú,because
che,become
àtẹ̀,bed
ẹ̀jẹ́efù,bedroom
ẹ́la okwunọ,beef
ọ́tẹ́,beer
lekí,before
bìèbi,beg
chánẹ́ẹ̀,begin
ẹ̀tẹ̀-ẹ̀tẹ̀,beginning
ọla,behalf
ùbì,behind
ínẹ́ẹ̀,belief
jẹ́nyú,believe
kámá,believed
ílo,bell
étíbā,below
gọ̀,bend
étíbā,beneath
j’ìlè,benefit
ìbá,beside
jálíí,best
fíálu,bet
mẹ́,better
àgbàdé,between
lé,beyond
Báíbùlù,Bible
lile,big
ọ́kọ́,bill
mílíọ̀nù,billion
jì,bind
ẹ́wẹ,bird
àmẹ́wẹ,birds
úbí,birth
ọ́jọ́ úbī,birthday
ágẹ́,bit
ègíní,bits
rùkókó,bitter
dúdú,black
kp’odú-bíẹ́,blackmail
ọ̀dọ̀,bladder
dọ́ ónẹ̀ údālu,blame
úkpóò,blanket
chẹ́bìẹ̀,bleeding
àgwódámā,blend
ẹ̀hì,blessing
ákpejúfọ́,blind
kpà,block
ẹ̀bìẹ̀,blood
ẹ̀bìẹ̀-ẹ̀bìẹ̀,bloody
fà,blow
bílú,blue
àlo,board
ọ́kọ́,boat
ọ́la,body
ítẹ́bíẹ̀,boil
rọ,boiling
pólòpòlò,bold
ọ̀lálī,bond
áchíkwúù,bone
ọ̀tákáda,book
àmọ́tákáda,books
ọ̀mẹ́,border
gwúdu,bore
bí,born
èjìmá,both
ùjógò,bottle
ọ̀ganẹ̀,bottom
n’ọdà,bound
ọ̀mẹ́,boundary
bẹ̀híẹ́ẹ́,bountiful
ọ́ọ́dọ,bow
úgbá,bowl
àkpàtì,box
ọ́m’onékẹ̀lẹ,boy
àbókólóbíáà,boys
ọ̀kọ̀tọ̀,brain
ẹ́tọ́,branch
ámẹ́tọ́,branches
gwúchẹ́,break
ùkpúchẹ́,breakfast
ẹ́nyáà,breast
ámẹ́nyáà,breasts
ími,breath
m’ími,breathe
ùmíñmí,breathing
j’obì,bribe
ọ́dọ̀,brick
ákpata,bridge
ké,brief
ké,briefly
fánẹ́ẹ̀,bright
gbágádáá,brightly
nẹ́,bring
bàgàà,broad
du kpògo,broadcast
ọ́maye,brother
àmọmaye,brothers
kpikpa,brown
li,brush
kpẹ́dọ̀,brutal
kọ́,build
únyí,building
gbá,built
ẹ́yọ́,bullet
ẹ̀dọ̀,bundle
ùdú,burden
jí-égwú,burial
du jì,buried
jó,burn
jó,burning
ta,burst
òbé,business
kpókpòkpóò,busy
ámáà,but
ípínì,button
là,buy
ẹ́nẹ ajá,buyer
ìlà,buying
kpàí,by
íwáyáà,cable
lò,calculate
dọ́,call
kà,called
dọ́,calling
hìẹ̀dọ̀ wánẹ́ẹ̀,calm
chíí,calmly
ọ̀ọ́nà,canal
kpàlú,cancel
ápō,cancer
neke,capable
agbà,capacity
ágbáà-ajá,capital
ágwọkọ̀,captain
ímótò,car
ẹ̀dọ̀,care
yẹ̀yẹ̀,careful
yẹ̀yẹ̀,carefully
du,carry
nẹ́,carried
ánádúù,carrier
nẹ́,carrying
àjọ,case
àmajọ,cases
ánẹ́ẹ̀,casual
ọ̀bàlà,cat
ọ̀tọ́tóhì,catalogue
mú,catch
ùchẹ̀,categories
ólí,Catholic
ámokwunọ,cattle
ẹ̀tẹ̀,cause
chí,caused
àmaètẹ̀,causes
òwò,cave
dá,cease
gbẹ,ceasing
ọ̀pátá,ceiling
gwọ́gwūyọ̀,celebrate
àdàmọ́dọ́,celebration
àlúméjì,center
àlúméjì,central
àmọ́dọ́,centuries
ọ̀dọ́,century
ùchèñwú,ceremony
kpákáá,certain
jálíí,certainly
jálíí,certainty
ígbálìgbà,chain
ìchẹ́yà,chair
ágbojí,chairman
àfà,chance
rídáà,change
rídáà,changed
àmárídáà,changes
ọ̀ọ́nà,channel
ùkpẹ̄,chapter
ámúkpẹ̄,chapters
áli,character
dànó,characteristic
àmálí,characteristics
ùdúmiọla,characterization
dábú,characterize
gwọ́ t’ọ́mẹ́ẹ̀,charge
àmajọ,charges
ẹ̀fùlẹ́fù,charm
kpọ̀,cheap
kpọ́kpọ̀kpọ́ọ̀,cheaply
lí,check
ìtì,cheek
àmaìtì,cheeks
ónú,chief
Ónú,Chief
àmonú,chiefs
ọ́màjùwẹ,chicken
ọ́ma,child
ágófo,childhood
àbímọ́tọ,children
àgbà,chin
Cháínà,China
Cháínà,Chinese
ẹ̀bẹ́lẹ́,chip
ọ̀ọ́nà,choice
àmọ̣́ọ́nà,choices
dọ́mọ,choose
dọ́mọ,chose
ákólọjọ,Christian
Íkéléchìmáchì,Christmas
Àlàdì,church
àmaÀlàdì,churches
ọ̀chìga,cigarette
ìgòchèlèmá,cinema
àkàdà,circuit
kòlòkòlò,circular
ọ̀lá,circumstance
àmọ̣́lá,circumstances
dọ́,cited
àmewó,cities
Éwó Lile,city
ẹ̀gbẹ́,civil
éjú-énẹ́ẹ̀,civilization
éjú-échí,civilized
gbà,claim
gbà,claimed
àlìfía,claims
ọ̀lọ́pù,clan
àmọ̣́lọ́pù,clans
ùchẹ̀,class
ùchẹ̀,classes
ùchẹ̀,classified
ìkójì-ọ̀gbánẹ̀,classroom
ámá,clay
fẹ́,clean
fánẹ́ẹ̀,Clear
ìgbàjí,clearing
jálíí,clearly
ákówékāda,clerk
kẹ́,click
mẹ́rú,close
mẹ́rú,closely
mẹ́rú,closer
mẹmù,closing
àchì,cloth
úkpóò,clothes
úkpóò,clothing
ákpá,cloud
ámákpá,clouds
ùgbóló,club
ácha,cluster
àmáchā,clusters
ẹ́fúù,coat
kpẹ̀bu,coating
òdẹ̀,code
ídígò,cohesion
ágọ́,coin
ọ́kọ́ ebíjè,coins
áhìdódọ̀,cold
mìẹ̀lù-mìẹ̀lù,coldly
gwúlọ́,collapse
ẹ́gà,collar
ìgò,collection
d’ejú,collective
òtílì-ótilì,collectively
jámù,collision
ẹ́yìbó,colonial
ínú,color
ámínú,colors
ẹ̀gbà,column
ùjà,combat
àgwódámā,combination
gwó dáma,combine
jọ,combined
lìá,come
lìá,comes
ùrá,comfort
dẹ̀bú,comfortable
ché píóò,Command
nyí,commanding
kà,comment
úkọ̀là,comments
ágọ́,commercial
ájájẹ̀,common
gbágádá,Common
álẹ́gbálẹ́,commonly
ílẹ̀,Commonwealth
kọ̀là,communicate
àmewó,communities
ojáanẹ̀,community
ígbólí,company
dábú,compared
ígbē,compensation
l’ùgbàtùgbà,compete
gbéjú,competent
ùgbá,competition
àmọ́gbā,competitions
àmájó,competitors
àìnọ̀,complaint
àmọ́ìnọ̀,complaints
kpa,complete
gbáàà,completely
ùkpōjí,completion
gb’íbe,compliance
gbà,complied
àkpẹ̀rù,components
jọ,composed
òkòlò,compound
àmokòlò,compounds
ùmà,comprehension
lò,compute
kọ̀pútà,computer
àmokòpútà,computers
májáà,concealed
ténè,conceived
íbē,concepts
ẹ̀jíjì,concern
lí,concerned
ímani,concerning
ádúbà,concessions
kpá-ójí,conclude
jì-ọ́lá,concluding
jì-ọ́lá,conclusion
alù,condition
íchẹñwu,conditional
àmalù,conditions
áli,conduct
ùjẹjú,conference
gb’ọ́wó́ ábi,confess
ọ̀là,confession
ùkẹ́dọ̀nó,confidence
ògèénéba,confident
jálí,confidently
dẹ̀,configuration
ìhíányì,conflicts
dè,conform
gb’íbe,conformity
òlí,confusion
ámáà,conjunction
tányí,connect
kámá,connected
éfù,connection
améfù,connections
dú,conquered
íbe,conscience
mà,conscious
ímí,consciousness
gẹ̀gẹ̀dẹ̀,consciously
álu,consensus
gbà,consent
àjẹ̀bá,consequence
àmọ̀jẹ́bá,consequences
òñwulẹ́,Consequently
gòó,consider
kpòkóò,considerable
pẹ́ẹ́,considerably
lí,considered
imáni,considering
dẹ́,consist
ìkò,consistent
púlú-púlú,consistently
kámá,consisting
che,constitutes
Ọ́dáà,constitution
ìgbàjí,constraint
àmagbàjí,constraints
kọ́,construct
